Site.Code,Spp1,Spp2,Mean.SIF,sd.SIF,lci.SIF,hci.SIF,RHat
BCI,Cuniculus paca,Dasyprocta punctata,1.041649772,0.028655035,1.00225306,1.111952524,1.001041311
BCI,Cuniculus paca,Dasypus novemcinctus,1.084201348,0.06909551,0.956716658,1.233544197,1.001068456
BCI,Cuniculus paca,Didelphis marsupialis,1.035121786,0.094464658,0.837727515,1.217223956,1.000990879
BCI,Cuniculus paca,Eira barbara,0.936402965,0.136976353,0.636275395,1.175909997,1.001048679
BCI,Cuniculus paca,Leopardus pardalis,1.025190471,0.067503899,0.893307326,1.169783661,1.001094302
BCI,Cuniculus paca,Mazama temama,1.059405011,0.056359017,0.959952225,1.183780703,1.001070423
BCI,Cuniculus paca,Nasua narica,1.057007555,0.047824536,0.979661949,1.166630103,1.001069901
BCI,Cuniculus paca,Odocoileus virginianus,0.945671035,0.071062284,0.796446437,1.08179465,1.001211176
BCI,Cuniculus paca,Pecari tajacu,1.095118378,0.052666231,1.011927004,1.217528445,1.000994894
BCI,Cuniculus paca,Procyon cancrivorus,1.083709868,0.130788625,0.784603328,1.316078794,1.001010748
BCI,Dasyprocta punctata,Dasypus novemcinctus,1.000813455,0.024628419,0.950384492,1.05366689,1.00103268
BCI,Dasyprocta punctata,Didelphis marsupialis,1.004595859,0.03788817,0.918548217,1.076994622,1.001056217
BCI,Dasyprocta punctata,Eira barbara,0.978060587,0.059112705,0.826354511,1.066310822,1.001018271
BCI,Dasyprocta punctata,Leopardus pardalis,1.020627367,0.025642796,0.981346698,1.083113125,1.001025729
BCI,Dasyprocta punctata,Mazama temama,1.02647296,0.026082325,0.988489946,1.09061954,1.001043538
BCI,Dasyprocta punctata,Nasua narica,1.014089986,0.019258438,0.988576286,1.06369285,1.001066374
BCI,Dasyprocta punctata,Odocoileus virginianus,0.982536012,0.025566133,0.921157704,1.025521962,1.001102186
BCI,Dasyprocta punctata,Pecari tajacu,1.017216729,0.019713546,0.990827864,1.067714091,1.000988927
BCI,Dasyprocta punctata,Procyon cancrivorus,0.97256314,0.070274346,0.78165214,1.064630929,1.001079732
BCI,Dasypus novemcinctus,Didelphis marsupialis,1.166336736,0.187269948,0.800227999,1.546944545,1.000992723
BCI,Dasypus novemcinctus,Eira barbara,0.873709418,0.255344823,0.389703205,1.37966976,1.00098632
BCI,Dasypus novemcinctus,Leopardus pardalis,1.073616925,0.140075155,0.808492866,1.372476362,1.001271906
BCI,Dasypus novemcinctus,Mazama temama,1.164878958,0.105172876,0.972881421,1.390008073,1.00105305
BCI,Dasypus novemcinctus,Nasua narica,1.058370849,0.075316028,0.915105061,1.215708381,1.001072035
BCI,Dasypus novemcinctus,Odocoileus virginianus,0.792567178,0.143947603,0.504350557,1.068340993,1.001025616
BCI,Dasypus novemcinctus,Pecari tajacu,1.013030213,0.074699153,0.866614952,1.16480676,1.001104694
BCI,Dasypus novemcinctus,Procyon cancrivorus,1.447962955,0.281885787,0.890928016,2.020403335,1.001018193
BCI,Didelphis marsupialis,Eira barbara,1.101157469,0.388236044,0.408289882,1.913269467,1.001054802
BCI,Didelphis marsupialis,Leopardus pardalis,1.263642809,0.233546469,0.86140537,1.773985577,1.0010377
BCI,Didelphis marsupialis,Mazama temama,0.983601875,0.146457853,0.690194184,1.266811496,1.000991062
BCI,Didelphis marsupialis,Nasua narica,1.004820355,0.112203802,0.768326925,1.216254632,1.001034877
BCI,Didelphis marsupialis,Odocoileus virginianus,1.325220687,0.218381153,0.913410886,1.782016793,1.00102131
BCI,Didelphis marsupialis,Pecari tajacu,1.058645307,0.104810175,0.844443962,1.263411914,1.001136729
BCI,Didelphis marsupialis,Procyon cancrivorus,0.872607955,0.445232288,0.154107125,1.853590513,1.001319027
BCI,Eira barbara,Leopardus pardalis,1.139965355,0.276118708,0.640721859,1.743550935,1.001665506
BCI,Eira barbara,Mazama temama,0.801493235,0.202594982,0.40595679,1.189781401,1.001023871
BCI,Eira barbara,Nasua narica,1.009714379,0.147453987,0.68877023,1.274757076,1.001072448
BCI,Eira barbara,Odocoileus virginianus,1.09619867,0.284225202,0.555170222,1.668367122,1.001033093
BCI,Eira barbara,Pecari tajacu,1.196571191,0.120426839,0.943980981,1.435028053,1.001091699
BCI,Eira barbara,Procyon cancrivorus,0.697071228,0.547347482,0.024690872,2.032292627,1.001048871
BCI,Leopardus pardalis,Mazama temama,1.013764709,0.088139471,0.827014302,1.203887402,1.00101782
BCI,Leopardus pardalis,Nasua narica,1.026862381,0.062883128,0.90124245,1.16645547,1.001101075
BCI,Leopardus pardalis,Odocoileus virginianus,0.99959303,0.126167564,0.720859415,1.262324469,1.001484246
BCI,Leopardus pardalis,Pecari tajacu,1.070206211,0.077524026,0.946213946,1.247525263,1.001089441
BCI,Leopardus pardalis,Procyon cancrivorus,0.967699068,0.244442124,0.422454924,1.479726299,1.001310635
BCI,Mazama temama,Nasua narica,0.993406798,0.057140558,0.882730168,1.113287864,1.00101201
BCI,Mazama temama,Odocoileus virginianus,0.806988179,0.112886562,0.573129062,1.015944829,1.001107255
BCI,Mazama temama,Pecari tajacu,1.051831916,0.060391675,0.942793395,1.18371938,1.001009689
BCI,Mazama temama,Procyon cancrivorus,1.323732976,0.193757163,0.930648841,1.707735846,1.001078439
BCI,Nasua narica,Odocoileus virginianus,1.093425862,0.081472185,0.94775988,1.2704697,1.001207665
BCI,Nasua narica,Pecari tajacu,0.982760526,0.036570267,0.910352055,1.060023594,1.00099525
BCI,Nasua narica,Procyon cancrivorus,1.001089984,0.150216862,0.653700523,1.263602353,1.001036621
BCI,Odocoileus virginianus,Pecari tajacu,0.954570585,0.080276129,0.79000359,1.110327725,1.001095317
BCI,Odocoileus virginianus,Procyon cancrivorus,0.673948307,0.333513174,0.117116358,1.353858463,1.001011277
BCI,Pecari tajacu,Procyon cancrivorus,1.001254285,0.164408122,0.623754866,1.28141725,1.001469947
BIF,Canis adustus,Caracal aurata,1.401526852,0.407351927,0.698664753,2.288470058,1.001268973
BIF,Canis adustus,Cephalophus nigrifrons,1.120449833,0.114232525,0.874259365,1.33191303,1.001121209
BIF,Canis adustus,Cephalophus silvicultor,1.431049822,0.24979261,0.947452246,1.928659861,1.001118373
BIF,Canis adustus,Cercopithecus lhoesti,1.036233773,0.122515204,0.758986656,1.261104971,1.000986036
BIF,Canis adustus,Civettictis civetta,1.664263994,0.981626217,0.299493026,4.026084715,1.001239857
BIF,Canis adustus,Cricetomys emini,0.719179057,0.383368445,0.115953917,1.569964708,1.001567227
BIF,Canis adustus,Genetta servalina,0.719994357,0.47843462,0.030845408,1.797389975,1.001014066
BIF,Canis adustus,Gorilla beringei,0.857167857,0.574659613,0.04405831,2.215342874,1.001275676
BIF,Canis adustus,Loxodonta africana,1.55246686,0.699961299,0.527406983,3.23474698,1.001043884
BIF,Canis adustus,Mellivora capensis,1.843910433,0.866113683,0.574315069,3.896787027,1.001381596
BIF,Canis adustus,Pan troglodytes,0.535894395,0.290551077,0.084185711,1.1561349,1.001377327
BIF,Canis adustus,Papio anubis,0.997342344,0.537984056,0.174709454,2.253279369,1.001317917
BIF,Canis adustus,Potamochoerus larvatus,1.110761154,0.334356099,0.486424685,1.83731037,1.001241492
BIF,Canis adustus,Tragelaphus scriptus,0.967228286,0.743919418,0.041208209,2.843836305,1.001306702
BIF,Caracal aurata,Cephalophus nigrifrons,1.009165508,0.088523076,0.824374195,1.179987022,1.00110828
BIF,Caracal aurata,Cephalophus silvicultor,1.436597656,0.179114756,1.114499324,1.82236709,1.001003258
BIF,Caracal aurata,Cercopithecus lhoesti,1.000298877,0.090076598,0.809121458,1.1731914,1.001160001
BIF,Caracal aurata,Civettictis civetta,0.511814885,0.403680401,0.017383134,1.474095287,1.00101695
BIF,Caracal aurata,Cricetomys emini,0.872542694,0.271440728,0.37298162,1.431688105,1.001020679
BIF,Caracal aurata,Genetta servalina,1.261780101,0.389013399,0.590237127,2.134250255,1.002026492
BIF,Caracal aurata,Gorilla beringei,1.261138297,0.45240788,0.473699571,2.273218045,1.001570228
BIF,Caracal aurata,Loxodonta africana,1.713672914,0.469622607,0.917268043,2.744334253,1.00120096
BIF,Caracal aurata,Mellivora capensis,1.931575242,0.511687162,1.040479999,3.072505178,1.00106526
BIF,Caracal aurata,Pan troglodytes,1.10426907,0.215303007,0.693494035,1.545894698,1.000997597
BIF,Caracal aurata,Papio anubis,0.537284752,0.305723065,0.080725538,1.221824199,1.001072367
BIF,Caracal aurata,Potamochoerus larvatus,1.415130084,0.271870524,0.9440311,2.006580641,1.001277818
BIF,Caracal aurata,Tragelaphus scriptus,1.07965246,0.499026107,0.224058271,2.159586569,1.001288712
BIF,Cephalophus nigrifrons,Cephalophus silvicultor,1.174797421,0.069314442,1.063972761,1.334232664,1.000992436
BIF,Cephalophus nigrifrons,Cercopithecus lhoesti,0.984838042,0.029080846,0.927548719,1.046467564,1.001003696
BIF,Cephalophus nigrifrons,Civettictis civetta,0.843008096,0.20914892,0.386631844,1.18087264,1.001033123
BIF,Cephalophus nigrifrons,Cricetomys emini,0.909881425,0.104176362,0.684676021,1.094258645,1.000990782
BIF,Cephalophus nigrifrons,Genetta servalina,0.996240904,0.128712219,0.691526574,1.214385027,1.00105057
BIF,Cephalophus nigrifrons,Gorilla beringei,1.063556905,0.136711696,0.738229496,1.294223662,1.000996958
BIF,Cephalophus nigrifrons,Loxodonta africana,1.105301294,0.111645725,0.862326484,1.311670567,1.000994756
BIF,Cephalophus nigrifrons,Mellivora capensis,1.089087541,0.127606125,0.791746658,1.308506746,1.001046195
BIF,Cephalophus nigrifrons,Pan troglodytes,0.886876372,0.075741014,0.723303769,1.022873962,1.001014303
BIF,Cephalophus nigrifrons,Papio anubis,0.53734887,0.158799117,0.231715296,0.841365425,1.001016219
BIF,Cephalophus nigrifrons,Potamochoerus larvatus,1.12818759,0.078518573,0.983148231,1.295450928,1.000991016
BIF,Cephalophus nigrifrons,Tragelaphus scriptus,1.009035407,0.18168861,0.563040759,1.283215462,1.001124507
BIF,Cephalophus silvicultor,Cercopithecus lhoesti,0.913942833,0.061239287,0.782879504,1.025563271,1.001041407
BIF,Cephalophus silvicultor,Civettictis civetta,0.598795131,0.310844865,0.101055444,1.256964698,1.001039296
BIF,Cephalophus silvicultor,Cricetomys emini,0.890427011,0.17884059,0.537560249,1.241198001,1.001147397
BIF,Cephalophus silvicultor,Genetta servalina,1.099284646,0.254320821,0.596960844,1.610738932,1.001305669
BIF,Cephalophus silvicultor,Gorilla beringei,0.937941012,0.302085743,0.329428786,1.518777751,1.001063554
BIF,Cephalophus silvicultor,Loxodonta africana,1.357051245,0.254431085,0.861212641,1.860639011,1.000989541
BIF,Cephalophus silvicultor,Mellivora capensis,1.326526967,0.269608144,0.778564037,1.84731287,1.001225401
BIF,Cephalophus silvicultor,Pan troglodytes,1.040774005,0.136762029,0.772761499,1.314740321,1.001088226
BIF,Cephalophus silvicultor,Papio anubis,0.450506084,0.203651646,0.115401201,0.892657602,1.000999792
BIF,Cephalophus silvicultor,Potamochoerus larvatus,1.2227679,0.163605769,0.917115836,1.561308987,1.001186
BIF,Cephalophus silvicultor,Tragelaphus scriptus,1.062687144,0.343318634,0.377263809,1.709106964,1.001072427
BIF,Cercopithecus lhoesti,Civettictis civetta,0.999403985,0.161667504,0.612173609,1.264599705,1.001108011
BIF,Cercopithecus lhoesti,Cricetomys emini,1.062177457,0.09195712,0.876715913,1.247200392,1.001111287
BIF,Cercopithecus lhoesti,Genetta servalina,0.942759,0.142733577,0.584213128,1.162262835,1.001020711
BIF,Cercopithecus lhoesti,Gorilla beringei,0.959056714,0.156363319,0.562049231,1.203144771,1.001015916
BIF,Cercopithecus lhoesti,Loxodonta africana,0.575568647,0.21395194,0.174039018,0.978760279,1.001126594
BIF,Cercopithecus lhoesti,Mellivora capensis,0.878107893,0.169034137,0.489397145,1.147992128,1.001198428
BIF,Cercopithecus lhoesti,Pan troglodytes,1.052647465,0.073274529,0.911124268,1.205867324,1.001038136
BIF,Cercopithecus lhoesti,Papio anubis,1.11141079,0.105374591,0.897191371,1.321543622,1.001007558
BIF,Cercopithecus lhoesti,Potamochoerus larvatus,0.978929812,0.077399799,0.808323587,1.124365933,1.001425971
BIF,Cercopithecus lhoesti,Tragelaphus scriptus,0.993450455,0.164852736,0.587224793,1.258105129,1.00119122
BIF,Civettictis civetta,Cricetomys emini,0.59714647,0.495254566,0.019248451,1.821162952,1.001024055
BIF,Civettictis civetta,Genetta servalina,0.843009369,0.679117698,0.033630595,2.595060334,1.001110124
BIF,Civettictis civetta,Gorilla beringei,1.081408868,0.943683051,0.041626411,3.59001269,1.001247025
BIF,Civettictis civetta,Loxodonta africana,0.88827139,0.725579623,0.032778749,2.712499073,1.001030933
BIF,Civettictis civetta,Mellivora capensis,1.130742525,0.940137566,0.037914726,3.49896162,1.001067269
BIF,Civettictis civetta,Pan troglodytes,0.817912017,0.420598578,0.138332311,1.711883974,1.001086054
BIF,Civettictis civetta,Papio anubis,3.834909416,1.315118917,1.682006086,6.893560091,1.00103874
BIF,Civettictis civetta,Potamochoerus larvatus,1.18431275,0.446889479,0.385046633,2.144245763,1.001336419
BIF,Civettictis civetta,Tragelaphus scriptus,1.804082992,1.606607872,0.060668392,5.91790029,1.001175511
BIF,Cricetomys emini,Genetta servalina,1.141059034,0.461872359,0.3672998,2.194591022,1.001081472
BIF,Cricetomys emini,Gorilla beringei,1.054968293,0.522486814,0.207227739,2.25278757,1.001225317
BIF,Cricetomys emini,Loxodonta africana,0.766665238,0.400803476,0.128349536,1.658250463,1.001051233
BIF,Cricetomys emini,Mellivora capensis,1.264161963,0.526595036,0.373074916,2.403652899,1.001324507
BIF,Cricetomys emini,Pan troglodytes,1.231867497,0.246204794,0.762566212,1.737846311,1.001001149
BIF,Cricetomys emini,Papio anubis,1.190579773,0.432389177,0.431763319,2.11138519,1.001047861
BIF,Cricetomys emini,Potamochoerus larvatus,0.866547058,0.263089325,0.375969463,1.401315879,1.001033075
BIF,Cricetomys emini,Tragelaphus scriptus,1.299308862,0.66035221,0.240107593,2.736802079,1.001037025
BIF,Genetta servalina,Gorilla beringei,1.829066911,1.08687028,0.633736187,4.667842851,1.001081991
BIF,Genetta servalina,Loxodonta africana,0.790472801,0.460892268,0.044746836,1.7918451,1.001338461
BIF,Genetta servalina,Mellivora capensis,1.202655029,0.645462791,0.282178858,2.868662783,1.002041527
BIF,Genetta servalina,Pan troglodytes,0.949622223,0.302658846,0.334913709,1.584568874,1.001265433
BIF,Genetta servalina,Papio anubis,1.488990307,0.737939233,0.467446048,3.275269173,1.001238652
BIF,Genetta servalina,Potamochoerus larvatus,1.034664943,0.30411488,0.408690299,1.702991809,1.000999652
BIF,Genetta servalina,Tragelaphus scriptus,1.553654983,1.042287497,0.324178265,4.324289386,1.001741721
BIF,Gorilla beringei,Loxodonta africana,0.879608761,0.566171573,0.049752463,2.226625126,1.001061018
BIF,Gorilla beringei,Mellivora capensis,1.611318733,1.009103948,0.346497328,4.206065542,1.001262462
BIF,Gorilla beringei,Pan troglodytes,1.13671531,0.374238952,0.428558909,1.936148481,1.001290547
BIF,Gorilla beringei,Papio anubis,0.770689134,0.574189761,0.033206353,2.21522598,1.001204846
